month,year,month_abbr,time_index,ridership
11/1/2000,2000,Nov,119,1981.408
12/1/2000,2000,Dec,120,2000.153
1/1/2001,2001,Jan,121,1683.148
2/1/2001,2001,Feb,122,1663.404
3/1/2001,2001,Mar,123,2007.928
4/1/2001,2001,Apr,124,2023.792
5/1/2001,2001,May,125,2047.008
6/1/2001,2001,Jun,126,2072.913
7/1/2001,2001,Jul,127,2126.717
8/1/2001,2001,Aug,128,2202.638
9/1/2001,2001,Sep,129,1707.693
10/1/2001,2001,Oct,130,1950.716
11/1/2001,2001,Nov,131,1973.614
12/1/2001,2001,Dec,132,1984.729
1/1/2002,2002,Jan,133,1759.629
2/1/2002,2002,Feb,134,1770.595
3/1/2002,2002,Mar,135,2019.912
4/1/2002,2002,Apr,136,2048.398
5/1/2002,2002,May,137,2068.763
6/1/2002,2002,Jun,138,1994.267
7/1/2002,2002,Jul,139,2075.258
8/1/2002,2002,Aug,140,2026.56
9/1/2002,2002,Sep,141,1734.155
10/1/2002,2002,Oct,142,1916.771
11/1/2002,2002,Nov,143,1858.345
12/1/2002,2002,Dec,144,1996.352
1/1/2003,2003,Jan,145,1778.033
2/1/2003,2003,Feb,146,1749.489
3/1/2003,2003,Mar,147,2066.466
4/1/2003,2003,Apr,148,2098.899
5/1/2003,2003,May,149,2104.911
6/1/2003,2003,Jun,150,2129.671
7/1/2003,2003,Jul,151,2223.349
8/1/2003,2003,Aug,152,2174.36
9/1/2003,2003,Sep,153,1931.406
10/1/2003,2003,Oct,154,2121.47
11/1/2003,2003,Nov,155,2076.054
12/1/2003,2003,Dec,156,2140.677
1/1/2004,2004,Jan,157,1831.508
2/1/2004,2004,Feb,158,1838.006
3/1/2004,2004,Mar,159,2132.446
